uri,news_source,feed_date,first_capture,batch_size
https://www.dropzone.ai/blog/ai-soc-analysts-soar-automation,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2025-05-25T02:06:36+00:00,22
https://www.dropzone.ai/blog/ai-threat-hunting-copilot-vs-agentic,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2026-05-08T09:28:46+00:00,22
https://www.dropzone.ai/blog/ai-vs-soar-scaling-mssp-alert-investigations-with-automation,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2025-03-21T04:31:41+00:00,22
https://www.dropzone.ai/blog/announcing-the-agentic-soc,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2026-04-16T14:15:30+00:00,22
https://www.dropzone.ai/blog/blog-ai-threat-hunting-2026,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2026-04-16T15:13:15+00:00,22
https://www.dropzone.ai/blog/blog-rise-of-agentic-ai-cybersecurity,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2026-04-16T14:08:36+00:00,22
https://www.dropzone.ai/blog/blog-soar-to-agentic-soc-evolution-security-automation,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2026-04-16T14:27:31+00:00,22
https://www.dropzone.ai/blog/dropzoneai-vs-soar-understanding-the-key-differences,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2024-08-28T06:07:24+00:00,22
https://www.dropzone.ai/blog/how-to-address-cybersecurity-alert-fatigue-with-ai,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2024-09-20T13:22:52+00:00,22
https://www.dropzone.ai/blog/mean-time-to-conclusion,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2025-05-25T01:05:30+00:00,22
https://www.dropzone.ai/blog/the-agentic-ai-edge-for-mssp,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2025-03-21T03:34:11+00:00,22
https://www.dropzone.ai/blog/threat-hunting-vs-threat-detection-understanding-the-difference,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2026-04-16T14:47:23+00:00,22
https://www.dropzone.ai/blog/top-threat-hunting-frameworks-and-how-your-ai-team-automates-them,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2026-03-07T15:09:07+00:00,22
https://www.dropzone.ai/blog/what-is-agentic-ai-exploring-its-role-in-security-operations,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2024-12-13T22:34:54+00:00,22
https://www.dropzone.ai/blog/what-is-threat-hunting-a-beginners-guide-for-2026,Dropzone AI Blog,2026-06-18T18:23:29+00:00,2026-03-07T14:36:21+00:00,22
https://www.dropzone.ai/blog/a-buyers-guide-to-threat-hunting-tools-and-platforms-2026,Dropzone AI Blog,2026-06-23T17:36:27+00:00,2026-04-16T14:28:10+00:00,4
https://www.dropzone.ai/blog/soar-vs-ai-soc-analysts,Dropzone AI Blog,2026-06-23T17:36:27+00:00,2025-04-20T02:28:52+00:00,4
https://www.dropzone.ai/blog/unlock-soc-efficiency-with-ai-for-tier-1-2-and-3-analysts,Dropzone AI Blog,2026-06-23T17:36:27+00:00,2024-11-10T22:46:24+00:00,4
https://www.dropzone.ai/blog/6-key-soc-challenges-and-how-ai-solves-them,Dropzone AI Blog,2026-07-01T13:31:09+00:00,2024-10-04T00:03:10+00:00,7
https://www.dropzone.ai/blog/ai-powered-socs-the-ultimate-buyers-guide,Dropzone AI Blog,2026-07-01T13:31:09+00:00,2025-02-10T13:34:16+00:00,7
https://www.dropzone.ai/blog/ai-soc-automation-capabilities,Dropzone AI Blog,2026-07-01T13:31:09+00:00,2025-10-01T17:36:44+00:00,7
https://www.dropzone.ai/blog/from-manual-mayhem-to-machine-speed-how-dropzone-ai-automates-phishing-investigations,Dropzone AI Blog,2026-07-01T13:31:09+00:00,2024-03-04T22:00:08+00:00,7
https://www.dropzone.ai/blog/how-to-evaluate-an-ai-soc-analyst,Dropzone AI Blog,2026-07-01T13:31:09+00:00,2025-02-10T12:04:07+00:00,7
https://www.dropzone.ai/blog/what-is-an-agentic-soc,Dropzone AI Blog,2026-07-01T13:31:09+00:00,2026-04-16T15:11:48+00:00,7
https://www.prophetsecurity.ai/blog/9-advantages-of-ai-soc-analysts-that-arent-just-hype,Prophet Security Blogs,2026-08-14T01:24:17+00:00,2025-04-20T06:23:53+00:00,4
https://www.prophetsecurity.ai/blog/mdr-vs-agentic-ai-soc-analyst-complementary-or-replacement,Prophet Security Blogs,2026-08-14T01:24:17+00:00,2025-04-20T05:51:53+00:00,4
https://www.prophetsecurity.ai/blog/prophet-ai-in-action-unmasking-zombie-credentials-in-subsidiary-infrastructure,Prophet Security Blogs,2026-08-14T01:24:17+00:00,2026-02-10T17:41:50+00:00,4
https://www.prophetsecurity.ai/blog/redefining-mean-time-to-detect-mttd-in-ai-driven-socs,Prophet Security Blogs,2026-08-14T01:24:17+00:00,2025-06-08T03:45:38+00:00,4
https://www.prophetsecurity.ai/blog/beyond-alert-tuning-how-ai-and-context-unlocks-scale,Prophet Security Blogs,2026-08-14T02:11:08+00:00,2025-12-09T10:41:50+00:00,5
https://www.prophetsecurity.ai/blog/the-truth-about-ai-cyber-attacks-velocity-not-novelty,Prophet Security Blogs,2026-08-14T02:11:26+00:00,2025-12-09T11:41:03+00:00,5
https://www.prophetsecurity.ai/blog/how-to-investigate-edr-alerts-triage-and-response,Prophet Security Blogs,2026-08-14T02:11:45+00:00,2025-12-09T11:15:24+00:00,5
https://www.prophetsecurity.ai/blog/considering-ai-soc-agents-read-this-gartner-report-first,Prophet Security Blogs,2026-08-14T02:11:50+00:00,2025-11-02T23:38:06+00:00,5
https://www.prophetsecurity.ai/blog/how-to-build-trust-in-an-ai-soc-a-practical-framework,Prophet Security Blogs,2026-08-14T02:12:08+00:00,2025-10-02T16:43:01+00:00,10
https://www.prophetsecurity.ai/blog/what-is-soc-as-a-service-socaas-and-does-it-still-make-sense-in-the-age-of-ai,Prophet Security Blogs,2026-08-14T02:12:12+00:00,2025-09-17T03:13:55+00:00,10
https://www.prophetsecurity.ai/blog/what-makes-an-ai-soc-solution-agentic,Prophet Security Blogs,2026-08-14T02:12:16+00:00,2025-08-20T16:13:03+00:00,10
https://www.prophetsecurity.ai/blog/prophet-security-raises-30-million-series-a-led-by-accel,Prophet Security Blogs,2026-08-14T02:12:21+00:00,2025-07-31T04:39:15+00:00,10
https://www.prophetsecurity.ai/blog/what-are-ai-soc-agents-how-do-they-work,Prophet Security Blogs,2026-08-14T02:12:34+00:00,2025-07-20T02:44:28+00:00,10
https://www.prophetsecurity.ai/blog/investigating-business-email-compromise-bec-a-practical-approach,Prophet Security Blogs,2026-08-14T02:12:39+00:00,2025-09-30T06:27:00+00:00,10
https://www.prophetsecurity.ai/blog/soc-analyst-career-advancement-with-ai,Prophet Security Blogs,2026-08-14T02:12:45+00:00,2025-07-08T02:23:01+00:00,10
https://www.prophetsecurity.ai/blog/why-explainability-of-ai-soc-analyst-platforms-is-important,Prophet Security Blogs,2026-08-14T02:12:50+00:00,2025-06-22T07:41:49+00:00,10
https://www.prophetsecurity.ai/blog/the-siren-song-of-diy-ai-soc-a-warning-from-history,Prophet Security Blogs,2026-08-14T02:12:55+00:00,2025-06-22T09:10:55+00:00,10
https://www.prophetsecurity.ai/blog/prophet-security-named-to-2025-redpoint-infrared-100-list,Prophet Security Blogs,2026-08-14T02:12:59+00:00,2025-06-22T08:36:41+00:00,10
https://www.prophetsecurity.ai/blog/what-is-agentic-soc,Prophet Security Blogs,2026-08-14T02:14:00+00:00,2026-03-09T02:26:55+00:00,4
https://www.prophetsecurity.ai/blog/can-ai-soc-analysts-replace-siems-looking-ahead,Prophet Security Blogs,2026-08-14T02:14:05+00:00,2025-06-22T08:31:20+00:00,4
https://www.prophetsecurity.ai/blog/what-is-an-ai-security-analyst-how-it-changes-cyber-defense,Prophet Security Blogs,2026-08-14T02:14:14+00:00,2025-06-22T08:00:49+00:00,4
https://www.prophetsecurity.ai/blog/what-is-an-autonomous-soc-can-you-build-one-today,Prophet Security Blogs,2026-08-14T02:14:23+00:00,2025-03-18T01:35:39+00:00,4
https://www.prophetsecurity.ai/blog/what-is-agentic-security-everything-you-should-know,Prophet Security Blogs,2026-08-14T02:16:38+00:00,2025-04-08T18:06:36+00:00,4
https://www.prophetsecurity.ai/blog/investigating-geo-impossible-travel-alerts,Prophet Security Blogs,2026-08-14T02:16:44+00:00,2024-11-08T21:22:29+00:00,4
https://www.prophetsecurity.ai/blog/what-is-mfa-fatigue-attack-mfa-bombing-best-practices,Prophet Security Blogs,2026-08-14T02:16:50+00:00,2024-08-28T21:29:17+00:00,4
https://www.prophetsecurity.ai/blog/will-ai-replace-cybersecurity-jobs,Prophet Security Blogs,2026-08-14T02:16:55+00:00,2024-08-06T07:47:45+00:00,4
https://www.prophetsecurity.ai/blog/top-3-scenarios-for-auto-remediation,Prophet Security Blogs,2026-08-14T02:17:07+00:00,2024-09-11T10:20:07+00:00,6
https://www.prophetsecurity.ai/blog/key-soc-tools-every-security-operations-center-needs,Prophet Security Blogs,2026-08-14T02:17:13+00:00,2024-07-25T16:18:41+00:00,6
https://www.prophetsecurity.ai/blog/automated-incident-response-streamlining-your-secops,Prophet Security Blogs,2026-08-14T02:17:25+00:00,2024-08-06T07:46:31+00:00,6
https://www.prophetsecurity.ai/blog/how-to-use-llms-like-chatgpt-4-to-investigate-aws-guardduty-alerts,Prophet Security Blogs,2026-08-14T02:17:30+00:00,2024-08-06T07:19:45+00:00,6
https://www.prophetsecurity.ai/blog/how-to-investigate-an-okta-security-alert,Prophet Security Blogs,2026-08-14T02:17:35+00:00,2024-08-06T06:55:44+00:00,6
